"","year","CITYGB","name_short","name","total_population_adm","total_population_city","non_agri_population_admin","non_agri_population_city","natural_growth_admin","natural_growth_city","AREA","PROVGB","EPROV","ECITY","CPROV","CCITY","CNTYGB","ECNTY","CCNTY","zhigong_number_adm","zhigong_number_city","total_wage_adm","total_wage_city","average_wage_adm","average_wage_city","gdp_adm","gdp_city","fdi_cont_adm","fdi_cont_city","fdi_real_adm","fdi_real_city","year_linear","post_t"
"11-1994","1994","11","北京","北京",1061.75,"724.07",683.84,"609.33",2.1,"1",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,471.83,435.13,"3070000","2900000",6549.47,"6706.75",10830377,9714848,505300,377305,194740,122277,1,FALSE
"11-1995","1995","11","北京","北京",1076.98,"733.72",698.04,"619.40",2.15,"0.79",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,471,432,"3820382","3600373",8144,"8353",13948900,12387738,273505,227235,107996,88080,3,FALSE
"11-1996","1996","11","北京","北京",1077.7,"737.40",709.7,"627.30",1.08,"0.21",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,461,423,"4423882","4166466",9580,"9820",16157300,8855400,NA,NA,NA,NA,4,FALSE
"11-1997","1997","11","北京","北京",1216.7,"920.12",722.69,"653.27",0.74,"0.14",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,467.2,430,"5147632","4855241",11018,"11291",18100900,12888400,252670,64063,107729,53356,5,FALSE
"11-1998","1998","11","北京","北京",1223.39,"981.86",733.64,"671.77",6.14,"6.11",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,425.9,387.9,"5302906","4940014",12451,"12735",20113100,17809800,409677,232764,206415,116784,6,TRUE
"11-1999","1999","11","北京","北京",1249.9,"1052.7",747.2,"699.7",0.09,"-0.41",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,411,385,"5773301","5484891",14054,"14255",21744600,18245780,181685,103227,178191,114831,7,TRUE
"11-2000","2000","11","北京","北京",1107.53,"    974.14",760.7,"    726.88",-0.49,"    -0.53",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,406.08,389.5,"6639343","    6440619",16350,"    16536",24787600,23323050,433084,428137,245849,237810,8,TRUE
"11-2001","2001","11","北京","北京",1122.3,"988.1",780.1,"744.1",0.63,"0.39",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,405.8,385,"7772635","7511091",19153.86,"19509.33",28456500,26979400,287294,275120,400997,394926,9,TRUE
"11-2002","2002","11","北京","北京",1136.3,"1067",806.9,"787.5",0.7,"0.55",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,435.1,421.7,"9508796","9323168",21854.28,"22108.53",32127100,31245124,553353,545323,509912,507334,10,TRUE
"11-2003","2003","11","北京","北京",1148.82,"1079.22",830.8,"809.61",-1.14,"-1.16",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,434.15,419.76,"10989365","10786972",25312.37,"25697.95",36631000,35572637,327132,310014,214675,210275,11,TRUE
"11-2004","2004","11","北京","北京",1162.89,"1092.85",854.69,"831.26",0.32,"0.32",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,443.18,429.79,"13151038","12908260",29674.26,"30033.88",42833100,41609819,625796,607894,308354,302855,12,TRUE
"12-1994","1994","12","天津","天津",894.52,"592.16",506.35,"472.05",3.4,"1.1",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,291.94,277.14,"1540420","1479967",5363.58,"5430.87",7251400,5848253,NA,NA,NA,NA,1,FALSE
"12-1995","1995","12","天津","天津",898.58,"594.02",510.2,"474.25",3.66,"1.25",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,290,279,"1848028","1790507",6501,"6546",9201100,7420686,NA,NA,NA,NA,3,FALSE
"12-1996","1996","12","天津","天津",898.45,"593.12",513.15,"475.36",2.43,"0.15",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,284,269,"2120492","2037198",7394,"7475",11024000,8581900,NA,NA,NA,NA,4,FALSE
"12-1997","1997","12","天津","天津",899.8,"593.75",515.36,"476.92",0.83,"-1.69",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,271,250.62,"2232526","2093661",8238,"8354",12404000,9507000,385066,182483,251135,NA,5,FALSE
"12-1998","1998","12","天津","天津",905.09,"597.09",521.37,"481.14",6.02,"6.15",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,219.1,200.1,"2179703","2031048",9948,"10150",13363800,10537200,363729,359906,251803,251803,6,TRUE
"12-1999","1999","12","天津","天津",910.17,"601.01",528.68,"486.88",2.78,"1",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,203,190,"2254343","2150638",11123,"11333",14500600,11448100,362034,0,253203,0,7,TRUE
"12-2000","2000","12","天津","天津",912,"    682.05",532.51,"    499.01",1.28,"    -0.04",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,195.89,185.78,"2444866","    2354175",12481,"    12672",16393600,13928800,460000,456693,256000,256000,8,TRUE
"12-2001","2001","12","天津","天津",913.98,"747.99",535.22,"509.59",1.79,"2.19",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,186.42,178.52,"2667267","2580319",14307.84,"14453.95",18401000,16499400,463000,462040,322000,321710,9,TRUE
"12-2002","2002","12","天津","天津",919.05,"752.21",541.14,"514.53",2.9,"1.98",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,178.82,168,"2907250","2776284",16257.97,"16525.5",20511600,18192805,581220,570152,380591,378941,10,TRUE
"12-2003","2003","12","天津","天津",926,"758.78",549.74,"521.7",1.5,"0.65",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,174.5,163.1,"3254148","3100837",18648.41,"19011.88",24476600,21720400,351297,343499,163325,158878,11,TRUE
"12-2004","2004","12","天津","天津",932.55,"764.37",556.17,"527.27",1.92,"0.83",NA,12,"Tianjin","Tianjin","天津市","天津市",NA,NA,NA,172.55,161.52,"3777433","3602549",21891.82,"22304.04",29318800,26022900,558855,544463,247243,240735,12,TRUE
"31-1994","1994","31","上海","上海",1298.81,"953.04",910.49,"824.91",-1.4,"—2.4",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,NA,NA,NA,NA,NA,NA,19720000,15220000,NA,NA,NA,NA,1,FALSE
"31-1995","1995","31","上海","上海",1301.37,"956.66",921.7,"833.80",-2.06,"-2.98",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,471,412,"4407495","3954639",9279,"9513",24625700,19693200,NA,NA,NA,NA,3,FALSE
"31-1996","1996","31","上海","上海",1304.43,"961.02",932.14,"841.75",NA,NA,NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,457,397,"4927045","4397090",10663,"10952",29022000,23335200,NA,NA,NA,NA,4,FALSE
"31-1997","1997","31","上海","上海",1305.46,"1018.59",943.03,"868.79",-2.41,"-2.98",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,446.47,402,"5100996","4699600",11425,"11691",33602100,26994700,531999,466711,480816,480816,5,FALSE
"31-1998","1998","31","上海","上海",1306.58,"1070.62",953.65,"893.72",7.72,"8.01",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,361.54,330.53,"4909915","4576748",13581,"13847",36882000,29732600,584776,584776,363786,363786,6,TRUE
"31-1999","1999","31","上海","上海",1313.12,"1127.22",969.63,"923.19",-2.27,"-2.68",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,337,313,"5605445","5298941",16641,"16912",40349600,36155700,410375,410375,304772,304772,7,TRUE
"31-2000","2000","31","上海","上海",1321.63,"    1136.82",986.16,"    938.21",-1.9,"    -2.12",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,317.12,295.06,"  5876557","    5552973",18531,"    18820",45511500,40986400,638972,626754,316029,302728,8,TRUE
"31-2001","2001","31","上海","上海",1327.14,"1262.41",999.07,"983.84",-2.69,"-2.64",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,298.05,235.09,"6491882","6152145",21781.18,"26169.32",49508400,48930100,737346,736342,439159,438547,9,TRUE
"31-2002","2002","31","上海","上海",1334.23,"1270.22",1018.81,"1003.08",-2.6,"-2.52",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,292.64,285.64,"7011418","6877833",23959.19,"24078.68",54087600,53462740,1057645,1057631,502951,500888,10,TRUE
"31-2003","2003","31","上海","上海",1341.77,"1278.23",1041.39,"1024.99",-3.26,"-3.2",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,281.51,274.95,"7686511","7531871",27304.58,"27393.6",62508100,61807382,1106371,1105979,585022,584125,11,TRUE
"31-2004","2004","31","上海","上海",1352.39,"1289.13",1097.6,"1080",-1.16,"—1.08",NA,31,"Shanghai","Shanghai","上海市","上海市",NA,NA,NA,268.01,264.4,"8006661","7932629",29874.49,"30002.38",74502700,73712679,1169067,1168026,654073,653676,12,TRUE
"50-1994","1994","50","重庆","重庆",1512.41,"309.71",397.51,"237.78",5.3,"2.4",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,213.19,137.76,"904530","626652",4261.42,"4566.1",5432445,2759605,NA,NA,NA,NA,1,FALSE
"50-1995","1995","50","重庆","重庆",1520.41,"546.26",406.49,"275.33",4.13,"2.99",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,213,154,"1025050","776131",4850,"5063",7425713,4194785,NA,NA,NA,NA,3,FALSE
"50-1996","1996","50","重庆","重庆",1529.71,"551.36",415.15,"281.11",4.62,"2.42",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,212,152,"1128892","852128",5375,"5632",8571184,4998503,22891,7682,20762,14557,4,FALSE
"50-1997","1997","50","重庆","重庆",3042.92,"558.40",594.58,"288.88",5.27,"1.83",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,287.48,147.14,"1581684","917428",5502,"6235",13501000,5720556,46017,31536,38466,27417,5,FALSE
"50-1998","1998","50","重庆","重庆",3059.69,"836.57",614.03,"354.7",7.06,"7.02",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,239.5,141.59,"1540831","992042",6434,"7006",14292600,7059600,47577,35000,43107,30573,6,TRUE
"50-1999","1999","50","重庆","重庆",3072.34,"843.23",635.16,"365.01",3.26,"2.2",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,224,133,"1606804","1037609",7182,"7830",14797100,7184600,70115,63100,32699,29430,7,TRUE
"50-2000","2000","50","重庆","重庆",3091.09,"    896.49",660.89,"    381.66",3.45,"    1.33",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,216,131.81,"    1732318","    1155698",8020,"    8768",15896000,7862000,35716,30462,24436,12917,8,TRUE
"50-2001","2001","50","重庆","重庆",3097.91,"903.09",689.52,"393.42",2.42,"2.47",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,203.87,123.47,"1941508","1283975",9523.26,"10399.08",17497700,8798200,44261,38081,25649,21690,9,TRUE
"50-2002","2002","50","重庆","重庆",3113.83,"999.05",721.45,"423.97",3.4,"2.53",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,200.38,128.15,"2196175","1529124",10960.05,"11932.3",19713000,10497075,50215,47674,28089,25122,10,TRUE
"50-2003","2003","50","重庆","重庆",3130.1,"1010.12",753.92,"441.16",3.81,"2.69",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,203.79,127.96,"2535070","1753924",12439.62,"13706.81",22505600,11606063,55301,44992,31112,29330,11,TRUE
"50-2004","2004","50","重庆","重庆",3144.23,"1017.57",785.83,"460.19",3.28,"0.49",NA,50,"Chongqing","Chongqing","重庆市","重庆市",NA,NA,NA,204.77,131.68,"2939800","2089332",14356.6,"15866.74",26653900,13635532,66315,57329,40508,37930,12,TRUE
"1301-1994","1994","1301","石家","石家庄",835.65,"141.64",167.43,"115.94",6.6,"6.2",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,116.58,75.4,"507798","384603",4406.06,"5106.93",4174210,1743175,38620,30896,11106,6482,1,FALSE
"1301-1995","1995","1301","石家","石家庄",846.27,"147.72",178.12,"121.84",6.47,"5.96",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,117,76,"608748","460004",5262,"6099",5403093,2121206,32243,23349,13688,10587,3,FALSE
"1301-1996","1996","1301","石家","石家庄",854.58,"151.82",185.64,"126.68",5.6,"5.48",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,115,75,"650743","485595",5726,"6551",6564068,2521454,23011,17587,26180,22193,4,FALSE
"1301-1997","1997","1301","石家","石家庄",860.19,"154.63",191.69,"129.64",5.5,"5.29",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,111.61,72.65,"698210","520464",6256,"7164",7813998,2997157,24345,18607,29193,25680,5,FALSE
"1301-1998","1998","1301","石家","石家庄",867.27,"157.17",198.33,"133.88",5.6,"7.41",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,101.25,65.28,"705681","518271",6970,"7939",8458583,3275923,26025,20956,34138,29643,6,TRUE
"1301-1999","1999","1301","石家","石家庄",875.4,"160.95",204.15,"137.7",6.22,"5.68",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,96,61,"758877","554845",7938,"9035",9083677,3600176,15033,3860,42613,34667,7,TRUE
"1301-2000","2000","1301","石家","石家庄",889.8,"    166.80",213.52,"    145.14",10.8,"    6.55",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,93.19,59.42,"    836114","    615612",8972,"    10360",10031119,4177309,3633,2389,14584,10241,8,TRUE
"1301-2001","2001","1301","石家","石家庄",895.94,"195",231.26,"163.23",5.04,"5.62",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,90.73,57.57,"904191","668230",9965.73,"11607.26",10854284,4628203,19771,9170,16701,12441,9,TRUE
"1301-2002","2002","1301","石家","石家庄",903.99,"204.96",266.87,"197.1",6,"6.24",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,87.82,55.6,"980752","721429",11167.75,"12975.34",11868132,5101126,16317,8365,17990,12019,10,TRUE
"1301-2003","2003","1301","石家","石家庄",910.51,"211.09",331.33,"208.5",5.53,"3.41",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,86.74,54.96,"1067432","789683",12306.11,"14368.32",13779438,5917839,36890,8362,25414,11849,11,TRUE
"1301-2004","2004","1301","石家","石家庄",917.55,"217.28",353.84,"217.28",5.04,"3.36",1.446,13,"Hebei","Shijiazhuang","河北","石家庄市",NA,NA,NA,86.14,54.65,"1171690","868533",13602.16,"15892.64",16334594,6920174,34663,18841,35199,12270,12,TRUE
"1302-1994","1994","1302","唐山","唐山",675.85,"156.68",163.68,"111.02",4.5,"3.9",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,110.63,67.51,"520755","361227",4771,"5401.12",3864908,1541465,25240,15883,12918,6664,1,FALSE
"1302-1995","1995","1302","唐山","唐山",679.46,"157.87",168.52,"112.40",3.77,"3.32",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,111,66,"589953","402176",5392,"6132",4985998,1783612,39447,15430,7822,3811,3,FALSE
"1302-1996","1996","1302","唐山","唐山",684.13,"160.33",176.38,"115.84",4.19,"4.19",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,110,65,"631207","428335",5749,"6566",6072800,2057021,32673,21045,19895,7676,4,FALSE
"1302-1997","1997","1302","唐山","唐山",688.34,"162.84",181.55,"119.05",3.66,"3.16",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,108.04,63.8,"651300","439953",6028,"6896",7108752,2409012,11984,9588,25605,17767,5,FALSE
"1302-1998","1998","1302","唐山","唐山",690.13,"163.64",185.77,"121.08",5.95,"5.59",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,93.72,54.08,"621310","410170",6629,"7585",7811579,2647180,9801,4575,29421,24446,6,TRUE
"1302-1999","1999","1302","唐山","唐山",694.09,"164.55",189.16,"122.64",3.21,"2.28",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,88,51,"640579","415559",7288,"8188",8325611,2811458,4656,2238,24382,13193,7,TRUE
"1302-2000","2000","1302","唐山","唐山",699.79,"    168.35",190.71,"    126.15",3.84,"    2.20",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,81.8,47.62,"    649353","    432601",7938,"    9084",9150473,2957392,4885,830,21852,12701,8,TRUE
"1302-2001","2001","1302","唐山","唐山",700.15,"168.82",193.89,"127.92",3.1,"2.26",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,76.64,44.77,"688789","454063",8987.33,"10142.13",10064571,3268325,7934,1888,15405,7579,9,TRUE
"1302-2002","2002","1302","唐山","唐山",702.67,"292.75",197.89,"149.82",3.85,"3.28",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,72.3,49.05,"751444","571019",10393.42,"11641.57",11022878,5448609,11583,7831,12980,8493,10,TRUE
"1302-2003","2003","1302","唐山","唐山",706.28,"294.91",223.54,"157.48",3.31,"2.2",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,86.29,60.58,"890722","683614",10322.42,"11284.48",12953220,6488503,18990,9208,20198,11909,11,TRUE
"1302-2004","2004","1302","唐山","唐山",710.07,"296.91",224.38,"159.53",4.6,"3.51",1.332,13,"Hebei","Tangshan","河北","唐山市",NA,NA,NA,70.01,47.51,"985594","765239",14077.9,"16106.9",16263343,8284068,27232,15760,41340,29039,12,TRUE
"1303-1994","1994","1303","秦皇","秦皇岛",257.11,"55.83",55.67,"41.25",6.3,"6.1",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,37.5,27.2,"190233","151851",5095.98,"5595.1",1393006,807100,13909,13448,7700,6978,1,FALSE
"1303-1995","1995","1303","秦皇","秦皇岛",259.96,"62.80",58.28,"43.38",6.31,"6.22",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,38,28,"227772","182897",6092,"6577",1722375,1001377,29949,28995,9724,8060,3,FALSE
"1303-1996","1996","1303","秦皇","秦皇岛",261.16,"64.61",60.82,"45.22",4.8,"5.53",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,38,28,"239441","193415",6331,"7008",2010365,1107274,49524,43226,23446,17808,4,FALSE
"1303-1997","1997","1303","秦皇","秦皇岛",261.87,"66.42",63.31,"47.10",3.44,"4.45",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,37.71,27.56,"256486","208683",6802,"7572",2307143,1229724,46734,38245,18375,16263,5,FALSE
"1303-1998","1998","1303","秦皇","秦皇岛",262.93,"67.31",65.21,"48.51",5.76,"4.45",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,33.71,24.04,"252211","200838",7482,"8354",2494997,1311864,45737,32882,19608,16089,6,TRUE
"1303-1999","1999","1303","秦皇","秦皇岛",264.41,"67.6",67.21,"49.08",2.99,"4",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,33,23,"272117","215684",8314,"9353",2629975,1418460,36428,33667,17079,16496,7,TRUE
"1303-2000","2000","1303","秦皇","秦皇岛",266.29,"    68.73",69.85,"    51.11",4.43,"    7.21",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,31.89,22.59,"    300865","    241028",9434,"    10670",2853937,1586990,20887,16526,14888,12423,8,TRUE
"1303-2001","2001","1303","秦皇","秦皇岛",268.2,"69.97",78.05,"52.11",2.5,"2.14",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,31.09,21.84,"330058","262279",10616.21,"12009.11",3073141,1809397,23233,18071,8806,6342,9,TRUE
"1303-2002","2002","1303","秦皇","秦皇岛",270.46,"72.01",81.55,"54.91",4.3,"3.73",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,29.52,20.71,"361813","286422",12256.54,"13830.13",3356576,2119823,20522,15568,10210,9187,10,TRUE
"1303-2003","2003","1303","秦皇","秦皇岛",273.29,"73.97",113.09,"73.95",2.47,"1.36",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,28.55,19.88,"384841","305858",13479.54,"15385.21",3870301,2484515,27512,24415,15443,12556,11,TRUE
"1303-2004","2004","1303","秦皇","秦皇岛",275.82,"75.9",115.03,"75.9",2.48,"2.82",0.821,13,"Hebei","Qinhuangdao","河北","秦皇岛市",NA,NA,NA,28.11,19.55,"445272","355937",15840.34,"18206.5",4534443,2938674,40045,31160,20164,15004,12,TRUE
"1304-1994","1994","1304","邯郸","邯郸",788.3,"118.97",124.98,"89.4",6.9,"12.8",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,90.56,59.73,"367393","274954",4093.97,"4571.9",2227146,856772,24824,1255,7424,535,1,FALSE
"1304-1995","1995","1304","邯郸","邯郸",794.28,"121.42",129.7,"92.69",5.39,"12.88",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,91,60,"423679","314516",4704,"5229",2898612,990090,25895,6680,6059,924,3,FALSE
"1304-1996","1996","1304","邯郸","邯郸",799.72,"124.47",134.76,"95.72",4.81,"10.91",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,89,59,"461227","343100",5233,"5806",3807283,1236915,52112,22986,17287,7259,4,FALSE
"1304-1997","1997","1304","邯郸","邯郸",807.56,"126.96",139.22,"98.32",4.75,"12.17",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,86.02,56.88,"464063","334688",5395,"5884",4411249,1233339,21491,18735,14286,13057,5,FALSE
"1304-1998","1998","1304","邯郸","邯郸",815,"128.7",143.17,"100.58",4.33,"2.35",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,73.08,46.08,"432604","300421",5920,"6520",4792422,1441024,9126,3371,18078,16179,6,TRUE
"1304-1999","1999","1304","邯郸","邯郸",820.98,"130.14",146.26,"102.17",4.63,"6.19",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,69,43,"425401","283404",6169,"6625",4969986,1542570,6062,1108,27466,18450,7,TRUE
"1304-2000","2000","1304","邯郸","邯郸",838.48,"    133.10",151.11,"    104.85",10.7,"    16.01",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,66.44,41.05,"    462871","    308773",6967,"    7522",5423546,1694372,10159,1464,20248,15956,8,TRUE
"1304-2001","2001","1304","邯郸","邯郸",844.33,"134.89",154.47,"106.91",5.25,"5.55",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,63.83,38.87,"503112","333807",7882.06,"8587.78",5916767,1830349,7718,943,12188,1082,9,TRUE
"1304-2002","2002","1304","邯郸","邯郸",849.93,"137.1",161.35,"109.78",5.62,"6.16",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,61.7,37.39,"556806","367297",9024.41,"9823.4",6531664,2012568,5375,978,6328,2086,10,TRUE
"1304-2003","2003","1304","邯郸","邯郸",857.09,"138.21",169.9,"114.25",6.83,"5.14",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,58.98,36.03,"592268","385935",10041.84,"10711.49",7625607,2317853,28367,12744,8528,2333,11,TRUE
"1304-2004","2004","1304","邯郸","邯郸",863.35,"139.12",173.87,"117.65",7.56,"5.04",1.213,13,"Hebei","Handan","河北","邯郸市",NA,NA,NA,57.55,33.94,"686492","455680",11928.62,"13426.05",9364918,2729867,12992,2136,13451,7797,12,TRUE
"1305-1994","1994","1305","邢台","邢台",627.88,"44.9",71.87,"34.23",5.7,"7.8",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,53.4,23.1,"188063","99858",3590.36,"4391.29",1519083,212188,5669,4962,3283,2195,1,FALSE
"1305-1995","1995","1305","邢台","邢台",633.1,"46.43",77.71,"35.69",2.61,"9.78",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,52,23,"209153","107882",4033,"4761",2005161,268011,5389,3213,1267,327,3,FALSE
"1305-1996","1996","1305","邢台","邢台",634.33,"46.83",79.51,"36.06",1.2,"12.43",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,52,23,"233824","122408",4479,"5409",2561207,290060,11641,1533,4488,2489,4,FALSE
"1305-1997","1997","1305","邢台","邢台",639.67,"47.96",82.14,"37.35",2.08,"9.41",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,49.39,22.08,"252550","132902",5113,"6019",2908907,388847,4583,3345,3056,1030,5,FALSE
"1305-1998","1998","1305","邢台","邢台",646.47,"48.9",84.22,"38.71",4.55,"3.65",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,44,19.05,"245725","123479",5585,"6482",3201335,427937,2026,1031,4582,2368,6,TRUE
"1305-1999","1999","1305","邢台","邢台",651.18,"48.99",85.78,"39.13",4.5,"5.47",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,41,18,"255322","127385",6255,"7205",3393337,465653,3404,1868,6559,2288,7,TRUE
"1305-2000","2000","1305","邢台","邢台",658.94,"    51.74",98.65,"    42.30",7.05,"    14.62",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,39.83,17.09,"    271121","    137300",6807,"    8034",3703839,521329,5978,1996,5220,1627,8,TRUE
"1305-2001","2001","1305","邢台","邢台",661.36,"53.49",104.12,"46.32",3.65,"6.04",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,36.56,15.91,"283422","148763",7752.24,"9350.28",4063406,618528,5271,814,4688,1875,9,TRUE
"1305-2002","2002","1305","邢台","邢台",663.83,"54.62",108.32,"48.97",3.77,"6.85",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,33.98,14.16,"310815","159537",9147,"11266.74",4394074,668818,7686,2325,4549,725,10,TRUE
"1305-2003","2003","1305","邢台","邢台",667.44,"55.41",148.06,"49.68",4.85,"6.82",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,32.84,13.55,"331694","169710",10100.3,"12524.72",5146061,826837,5253,948,5784,1253,11,TRUE
"1305-2004","2004","1305","邢台","邢台",671.97,"56.14",139.38,"50.7",7.69,"3.96",1.269,13,"Hebei","Xingtai","河北","邢台市",NA,NA,NA,32.73,13.71,"383458","202219",11715.8,"14749.74",6355770,1006363,13783,519,10729,1022,12,TRUE
"1306-1994","1994","1306","保定","保定",174.76,"66.16",57.86,"51.92",5.1,"6.8",2.32,13,"Hebei","Baoding","河北","保定市",NA,NA,NA,34.72,30.92,"149611","136342",4640.54,"4573.7",903523,643548,7104,4898,3646,2529,1,FALSE
"1306-1995","1995","1306","保定","保定",1022.42,"66.85",137.08,"53.01",3.46,"5.56",2.32,13,"Hebei","Baoding","河北","保定市",NA,NA,NA,80,30,"366569","158133",4546,"5289",3753772,778357,36134,15427,13798,4354,3,FALSE
"1306-1996","1996","1306","保定","保定",1027.64,"68.00",142.47,"54.63",2.55,"5.25",2.32,13,"Hebei","Baoding","河北","保定市",NA,NA,NA,81,30,"392165","163844",4881,"5493",4604259,853647,23720,12731,25045,5507,4,FALSE
